"행정구역별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"전국","계","귀농가구원수[명]","명","17318","17976","19860","20559","19630","17856","16181","17447","19776","16906",
"전국","계","귀농인수[명]","명","10312","10904","12114","13019","12763","12055","11504","12570","14461","12660",
"전국","계","동반가구원수[명]","명","7006","7072","7746","7540","6867","5801","4677","4877","5315","4246",
"전국","30대이하","귀농가구원수[명]","명","4834","4877","5108","5307","4788","4233","3413","3699","3842","3009",
"전국","30대이하","귀농인수[명]","명","1174","1123","1168","1353","1340","1365","1212","1370","1522","1195",
"전국","30대이하","동반가구원수[명]","명","3660","3754","3940","3954","3448","2868","2201","2329","2320","1814",
"전국","40대","귀농가구원수[명]","명","3177","3238","3246","3132","2948","2613","2167","2210","2295","1895",
"전국","40대","귀농인수[명]","명","2348","2412","2428","2386","2273","2028","1752","1791","1858","1568",
"전국","40대","동반가구원수[명]","명","829","826","818","746","675","585","415","419","437","327",
"전국","50대","귀농가구원수[명]","명","5624","5841","6572","6750","6402","5729","5377","5403","5890","4888",
"전국","50대","귀농인수[명]","명","4077","4365","4875","5202","4956","4502","4291","4402","4772","4025",
"전국","50대","동반가구원수[명]","명","1547","1476","1697","1548","1446","1227","1086","1001","1118","863",
"전국","60대","귀농가구원수[명]","명","2841","3057","3846","4239","4408","4199","4185","4925","6299","5747",
"전국","60대","귀농인수[명]","명","2186","2377","2954","3306","3465","3403","3490","4084","5203","4828",
"전국","60대","동반가구원수[명]","명","655","680","892","933","943","796","695","841","1096","919",
"전국","70대이상","귀농가구원수[명]","명","842","963","1088","1131","1084","1082","1039","1210","1450","1367",
"전국","70대이상","귀농인수[명]","명","527","627","689","772","729","757","759","923","1106","1044",
"전국","70대이상","동반가구원수[명]","명","315","336","399","359","355","325","280","287","344","323",
"부산광역시","계","귀농가구원수[명]","명","39","49","63","48","61","36","20","65","43","35",
"부산광역시","계","귀농인수[명]","명","22","30","31","27","33","25","18","35","26","24",
"부산광역시","계","동반가구원수[명]","명","17","19","32","21","28","11","X","30","17","11",
"부산광역시","30대이하","귀농가구원수[명]","명","10","17","22","16","13","8","5","24","15","5",
"부산광역시","30대이하","귀농인수[명]","명","4","5","4","4","4","X","4","7","X","0",
"부산광역시","30대이하","동반가구원수[명]","명","6","12","18","12","9","5","X","17","13","5",
"부산광역시","40대","귀농가구원수[명]","명","7","9","6","7","9","9","0","7","7","7",
"부산광역시","40대","귀농인수[명]","명","X","7","X","5","4","6","0","6","5","7",
"부산광역시","40대","동반가구원수[명]","명","4","X","X","X","5","X","0","X","X","0",
"부산광역시","50대","귀농가구원수[명]","명","8","11","17","8","19","8","7","18","9","8",
"부산광역시","50대","귀농인수[명]","명","5","8","14","6","13","7","7","14","9","7",
"부산광역시","50대","동반가구원수[명]","명","X","X","X","X","6","X","0","4","0","X",
"부산광역시","60대","귀농가구원수[명]","명","10","7","11","15","13","7","4","8","11","11",
"부산광역시","60대","귀농인수[명]","명","6","6","8","11","9","6","4","6","9","9",
"부산광역시","60대","동반가구원수[명]","명","4","X","X","4","4","X","0","X","X","X",
"부산광역시","70대이상","귀농가구원수[명]","명","4","5","7","X","7","4","4","8","X","4",
"부산광역시","70대이상","귀농인수[명]","명","4","4","X","X","X","X","X","X","X","X",
"부산광역시","70대이상","동반가구원수[명]","명","0","X","5","X","4","X","X","6","0","X",
"기장군","계","귀농가구원수[명]","명","39","49","63","48","61","36","20","65","43","35",
"기장군","계","귀농인수[명]","명","22","30","31","27","33","25","18","35","26","24",
"기장군","계","동반가구원수[명]","명","17","19","32","21","28","11","X","30","17","11",
"기장군","30대이하","귀농가구원수[명]","명","10","17","22","16","13","8","5","24","15","5",
"기장군","30대이하","귀농인수[명]","명","4","5","4","4","4","X","4","7","X","0",
"기장군","30대이하","동반가구원수[명]","명","6","12","18","12","9","5","X","17","13","5",
"기장군","40대","귀농가구원수[명]","명","7","9","6","7","9","9","0","7","7","7",
"기장군","40대","귀농인수[명]","명","X","7","X","5","4","6","0","6","5","7",
"기장군","40대","동반가구원수[명]","명","4","X","X","X","5","X","0","X","X","0",
"기장군","50대","귀농가구원수[명]","명","8","11","17","8","19","8","7","18","9","8",
"기장군","50대","귀농인수[명]","명","5","8","14","6","13","7","7","14","9","7",
"기장군","50대","동반가구원수[명]","명","X","X","X","X","6","X","0","4","0","X",
"기장군","60대","귀농가구원수[명]","명","10","7","11","15","13","7","4","8","11","11",
"기장군","60대","귀농인수[명]","명","6","6","8","11","9","6","4","6","9","9",
"기장군","60대","동반가구원수[명]","명","4","X","X","4","4","X","0","X","X","X",
"기장군","70대이상","귀농가구원수[명]","명","4","5","7","X","7","4","4","8","X","4",
"기장군","70대이상","귀농인수[명]","명","4","4","X","X","X","X","X","X","X","X",
