"시도별","종류별","항목","단위","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"계","합계","합계","","131517","137352","146244","153613","161517","172367","171372","173806","173234","171327","169388","163291","162450","158587","152648","149780","146756","148398","149443","150917","156247","154411","152387","152996","153415","154136","158662","159041.3535","156435.3572","151825.6011","147198.3774","142465.9824","146391.8487","144354.6014",
"계","합계","● 사과","","48833","50595","52985","52297","52098","50103","43857","39995","34692","31079","29063","26328","26163","26398","26676","26907","28312","29358","30006","30451","30992","31167","30734","30449","30702","31620","33300","33600.6824","33234.0913","32953.5377","31597.751","34358.649","34603.2895","33788.9204",
"계","합계"," - 사과(성과)","","26002","26354","27908","29200","30751","32222","30614","29576","25279","23146","21259","19186","18533","17933","16889","16379","17888","18796","18534","19179","20582","21395","21629","21602","21399","21965","23880","23355.0091","23600.1944","23910.511","23329.7119","26302.0469","25767.3253","24686.6085",
"계","합계","- 사과(미과)","","22831","24241","25077","23097","21347","17881","13243","10419","9413","7933","7804","7142","7630","8465","9787","10528","10424","10562","11472","11272","10410","9772","9105","8847","9303","9655","9420","10245.6733","9633.8969","9043.0267","8268.0391","8056.6021","8835.9642","9102.3119",
"계","합계","● 배","","9058","9495","10339","11009","12649","15752","18243","21983","24612","25677","26142","25459","25317","24025","22906","21735","20656","19888","18277","17090","16239","15081","14353","13740","13127","12664","11164","10860.5134","10302.78","9614.593","9091.2714","9674.8249","9679.9428","9607.1338",
"계","합계","- 배(성과)","","7137","7053","7141","7116","7153","7602","8669","9509","10248","11724","13290","14762","17053","17509","17341","17059","17481","17519","16583","15253","14772","13831","13346","12727","12230","11782","10333","10257.7783","9682.9664","9074.41","8530.0625","9122.4401","9033.1246","8818.7184",
"계","합계","- 배(미과)","","1921","2442","3198","3893","5496","8150","9574","12474","14364","13953","12852","10697","8264","6516","5565","4676","3175","2369","1694","1837","1467","1250","1007","1013","897","882","831","602.7351","619.8136","540.183","561.2089","552.3848","646.8182","788.4154",
"계","합계","● 복숭아","","12333","11529","10635","10548","10166","10241","10002","10892","12012","12942","13876","14412","15598","15880","15566","15014","13383","13188","12638","12967","13908","13795","14335","14633","15539","16704","19877","21029.9183","21087.4623","20635.6096","20450.3369","19474.8306","20314.4468","20126.9397",
"계","합계","- 복숭아(성과)","","10466","9812","9188","8631","7980","7473","6978","6990","7251","7237","7688","8062","8880","9622","9857","9830","9645","9373","8823","8813","9923","9538","9584","9659","9809","10811","14485","15410.3629","15568.8993","15385.0368","15323.8331","15446.7389","15326.1672","14903.7866",
"계","합계","- 복숭아(미과)","","1867","1717","1447","1917","2186","2768","3024","3902","4761","5705","6188","6350","6718","6258","5709","5184","3738","3815","3815","4154","3985","4257","4751","4974","5730","5893","5392","5619.5554","5518.563","5250.5728","5126.5038","4028.0917","4988.2796","5223.1531",
"계","합계","● 포도","","14962","14802","14957","16991","19773","25630","26593","27558","29044","29462","28085","25578","24569","23160","21128","20106","17406","17003","16231","15757","15330","14978","14590","14129","13538","12690","12706","11147.5755","10938.379","10594.8586","10582.461","10610.6817","11085.92","11158.8662",
"계","합계","- 포도(성과)","","12845","12284","11806","11584","12026","13955","15686","20022","22144","23020","22245","21092","20633","19797","18129","16481","14849","14304","13552","13359","13060","12722","12397","11836","11466","11007","11723","10157.161","9762.0801","8902.213","8285.4964","8165.8842","8532.31","9369.6043",
"계","합계","- 포도(미과)","","2117","2518","3151","5407","7747","11675","10907","7536","6900","6442","5840","4486","3936","3363","2999","3625","2557","2699","2679","2398","2270","2256","2193","2293","2072","1683","983","990.4145","1176.2989","1692.6456","2296.9646","2444.7975","2553.61","1789.2619",
"계","합계","● 감귤","","19287","20221","21482","22247","22233","23622","24729","24730","24667","24959","25198","24919","24330","22473","19792","19145","18662","18622","18216","18353","18041","18034","17771","17533","17007","16692","17624","17273.0674","16809.8081","16253.1222","16159.6431","16218.351","16072.514","15820.8275",
"계","합계","- 감귤(성과)","","17089","17411","17668","17808","17944","19460","21838","22366","22808","23311","23705","23565","23314","21635","19214","18642","18289","18223","17889","17901","17573","17378","17146","16993","16439","16112","17049","16630.6223","16029.7769","15386.082","15514.4185","15468.2262","15209.0047","14923.8483",
"계","합계","- 감귤(미과)","","2198","2810","3814","4439","4289","4162","2891","2364","1859","1648","1493","1354","1016","838","578","503","373","399","327","452","468","656","625","540","568","580","575","642.4451","780.0312","867.0402","645.2246","750.1248","863.5093","896.9792",
"계","합계","● 감","","13581","15076","17584","19719","22440","25009","27201","28812","30031","30821","31193","30489","29070","27943","27159","26831","28436","28839","30669","30347","31808","31339","30264","29153","27988","27034","25060","24749.4697","23917.9935","23000.2433","21982.0279","20882.4699","22265.158","21794.2658",
"계","합계","- 감(성과)","","7667","8108","8795","9472","10455","11304","14455","16118","18046","19469","20658","21223","21063","21070","20685","20128","21511","21121","21395","20508","21898","21683","21345","21511","21045","20972","20228","20231.5468","19741.8325","19228.7939","18604.5542","18323.7831","19161.9976","18459.2682",
"계","합계","- 감(미과)","","5914","6968","8789","10247","11985","13705","12746","12694","11985","11352","10535","9266","8007","6873","6474","6703","6925","7718","9274","9839","9910","9656","8919","7642","6943","6062","4832","4517.9229","4176.161","3771.4494","3377.4737","2558.6868","3103.1604","3334.9976",
"계","합계","● 떫은감","","","","","","","","","","","","","","","","8626","9632","11132","12530","14410","15562","16564","17040","16874","16248","15537","15185","15058","15163.58","14809.94","14360.97","13577.74","11983.11","12787.93","12590.9118",
"계","합계","- 떫은감(성과)","","","","","","","","","","","","","","","","5024","5381","6216","6878","7331","7526","8424","9061","9390","9922","9899","10300","11107","11378.5266","11382.1508","11359.7784","10990.4665","10112.7827","10660.6022","10253.2559",
"계","합계","- 떫은감(미과)","","","","","","","","","","","","","","","","3602","4251","4916","5652","7079","8036","8140","7979","7484","6326","5638","4885","3951","3785.0534","3427.7892","3001.1916","2587.2735","1870.3273","2127.3278","2337.6559",
"계","합계","● 단감","","","","","","","","","","","","","","","","18533","17199","17304","16309","16259","14785","15244","14299","13390","12905","12451","11849","10002","9585.8902","9108.0509","8639.2721","8404.2849","8899.3588","9477.2304","9203.354",
"계","합계","- 단감(성과)","","","","","","","","","","","","","","","","15661","14747","15295","14243","14064","12982","13474","12622","11955","11589","11146","10672","9121","8853.0202","8359.6817","7869.0155","7614.0877","8211.0004","8501.3954","8206.0123",
"계","합계","- 단감(미과)","","","","","","","","","","","","","","","","2872","2452","2009","2066","2195","1803","1770","1677","1435","1316","1305","1177","881","732.87","748.3692","770.2566","790.1972","688.3584","975.835","997.3417",
