,강원도,경기도,경상남도,경상북도,계,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주도,충청남도,충청북도,수도권,강원권,충청권,호남권,경상권
1990,593.0,2445.0,1369.0,32721.0,48833.0,0.0,418.0,130.0,0.0,3.0,0.0,0.0,16.0,270.0,959.0,0.0,4932.0,4977.0,2464.0,593.0,10039.0,1229.0,34508.0
1991,617.0,2282.0,1457.0,34099.0,50595.0,0.0,426.0,115.0,0.0,0.0,0.0,0.0,1.0,234.0,982.0,0.0,4949.0,5433.0,2283.0,617.0,10497.0,1216.0,35982.0
1992,552.0,2158.0,1574.0,36355.0,52985.0,0.0,429.0,109.0,0.0,0.0,0.0,0.0,0.0,237.0,945.0,0.0,5061.0,5565.0,2158.0,552.0,10735.0,1182.0,38358.0
1993,483.0,2126.0,1634.0,36021.0,52297.0,0.0,447.0,109.0,0.0,0.0,0.0,0.0,0.0,249.0,952.0,0.0,5044.0,5232.0,2126.0,483.0,10385.0,1201.0,38102.0
1994,461.0,1860.0,1832.0,35911.0,52098.0,0.0,444.0,91.0,0.0,0.0,0.0,0.0,0.0,236.0,966.0,0.0,5087.0,5210.0,1860.0,461.0,10388.0,1202.0,38187.0
1995,464.0,1785.0,1965.0,34322.0,50103.0,0.0,448.0,58.0,0.0,0.0,0.0,0.0,5.0,200.0,910.0,0.0,4727.0,5219.0,1790.0,464.0,10004.0,1110.0,36735.0
1996,536.0,1198.0,2487.0,28966.0,43857.0,0.0,146.0,47.0,0.0,0.0,0.0,0.0,14.0,445.0,1223.0,0.0,4040.0,4755.0,1212.0,536.0,8842.0,1668.0,31599.0
1997,497.0,941.0,2539.0,26173.0,39995.0,0.0,112.0,47.0,0.0,0.0,0.0,0.0,14.0,395.0,1135.0,0.0,3687.0,4455.0,955.0,497.0,8189.0,1530.0,28824.0
1998,427.0,634.0,2470.0,22241.0,34692.0,0.0,102.0,36.0,0.0,0.0,0.0,27.0,14.0,380.0,1000.0,0.0,3450.0,3911.0,648.0,427.0,7397.0,1380.0,24840.0
1999,335.0,517.0,2347.0,20128.0,31079.0,1.0,92.0,34.0,0.0,0.0,0.0,23.0,1.0,294.0,915.0,0.0,2902.0,3490.0,518.0,335.0,6426.0,1210.0,22590.0
2000,289.0,450.0,2257.0,18754.0,29063.0,1.0,90.0,33.0,0.0,0.0,0.0,16.0,1.0,297.0,842.0,0.0,2613.0,3420.0,451.0,289.0,6066.0,1140.0,21117.0
2001,262.0,381.0,2236.0,16854.0,26328.0,1.0,66.0,30.0,0.0,0.0,0.0,13.0,1.0,240.0,762.0,0.0,2228.0,3254.0,382.0,262.0,5512.0,1003.0,19169.0
2002,225.0,333.0,2366.0,16663.0,26163.0,0.0,69.0,32.0,0.0,0.0,0.0,16.0,0.0,231.0,834.0,0.0,2093.0,3301.0,333.0,225.0,5426.0,1065.0,19114.0
2003,168.0,351.0,2390.0,16778.0,26398.0,0.0,70.0,19.0,0.0,0.0,0.0,16.0,0.0,282.0,900.0,0.0,2007.0,3417.0,351.0,168.0,5443.0,1182.0,19254.0
2004,159.0,345.0,2505.0,16775.0,26676.0,0.0,71.0,13.0,0.0,0.0,0.0,17.0,4.0,312.0,952.0,0.0,2000.0,3523.0,349.0,159.0,5536.0,1264.0,19368.0
2005,144.0,312.0,2506.0,16774.0,26907.0,0.0,78.0,15.0,0.0,0.0,0.0,18.0,14.0,276.0,933.0,0.0,2053.0,3784.0,326.0,144.0,5852.0,1209.0,19376.0
2006,125.0,357.0,2408.0,18439.0,28312.0,0.0,125.0,26.0,0.0,0.0,0.0,4.0,1.0,235.0,1148.0,0.0,1448.0,3996.0,358.0,125.0,5470.0,1383.0,20976.0
2007,114.0,339.0,2493.0,19050.0,29358.0,0.0,123.0,21.0,0.0,1.0,0.0,6.0,3.0,243.0,1310.0,0.0,1455.0,4200.0,343.0,114.0,5676.0,1553.0,21672.0
2008,184.0,335.0,2628.0,19158.0,30006.0,0.0,143.0,29.0,0.0,1.0,0.0,1.0,2.0,277.0,1614.0,0.0,1441.0,4193.0,338.0,184.0,5663.0,1891.0,21930.0
2009,199.0,309.0,2767.0,19339.0,30451.0,0.0,105.0,21.0,1.0,0.0,0.0,3.0,8.0,321.0,1662.0,1.0,1495.0,4220.0,317.0,199.0,5736.0,1983.0,22215.0
2010,216.0,294.0,2868.0,19543.0,30992.0,0.0,97.0,12.0,3.0,0.0,0.0,1.0,26.0,285.0,1763.0,0.0,1632.0,4252.0,320.0,216.0,5896.0,2048.0,22512.0
2011,321.0,299.0,3029.0,19470.0,31167.0,0.0,90.0,2.0,3.0,0.0,0.0,1.0,19.0,292.0,1835.0,0.0,1648.0,4158.0,318.0,321.0,5808.0,2127.0,22593.0
2012,434.0,299.0,3156.0,19024.0,30734.0,0.0,74.0,4.0,3.0,0.0,0.0,2.0,18.0,273.0,1869.0,0.0,1562.0,4016.0,317.0,434.0,5582.0,2142.0,22259.0
2013,516.0,283.0,3148.0,18895.0,30449.0,0.0,86.0,4.0,3.0,0.0,0.0,2.0,12.0,300.0,1925.0,0.0,1408.0,3867.0,295.0,516.0,5279.0,2225.0,22134.0
2014,522.0,268.0,3370.0,18811.0,30702.0,0.0,78.0,5.0,1.0,0.0,0.0,3.0,23.0,308.0,2078.0,0.0,1358.0,3877.0,291.0,522.0,5240.0,2386.0,22263.0
2015,721.0,330.0,3444.0,19247.0,31620.0,0.0,66.0,4.0,1.0,0.0,0.0,4.0,24.0,289.0,2223.0,0.0,1283.0,3984.0,354.0,721.0,5271.0,2512.0,22762.0
2016,831.0,295.0,3339.0,20083.0,33300.0,2.0,81.0,20.0,6.0,0.0,15.0,19.0,8.0,554.0,2360.0,0.0,1600.0,4087.0,303.0,831.0,5722.0,2916.0,23528.0
2017,930.0,310.0,3387.0,20178.0,33601.0,0.0,82.0,13.0,3.0,0.0,10.0,27.0,4.0,533.0,2525.0,0.0,1574.0,4024.0,314.0,930.0,5621.0,3058.0,23677.0
2018,947.0,316.0,3374.0,19780.0,33234.0,2.0,56.0,12.0,5.0,0.0,13.0,32.0,16.0,545.0,2643.0,0.0,1437.0,4056.0,332.0,947.0,5518.0,3190.0,23247.0
2019,1092.0,341.0,3313.0,19462.0,32954.0,3.0,52.0,6.0,7.0,0.0,11.0,29.0,18.0,557.0,2698.0,0.0,1436.0,3929.0,359.0,1092.0,5382.0,3258.0,22863.0
2020,1124.0,353.0,3340.0,18705.0,31598.0,3.0,52.0,11.0,7.0,0.0,1.0,27.0,21.0,562.0,2449.0,1.0,1297.0,3645.0,374.0,1124.0,4954.0,3014.0,22131.0
2021,1579.0,524.0,3774.0,20955.0,34359.0,4.0,80.0,21.0,10.0,0.0,17.0,14.0,13.0,208.0,2033.0,0.0,1534.0,3594.0,537.0,1579.0,5166.0,2245.0,24833.0
2022,1630.0,519.0,3820.0,20685.0,34603.0,4.0,75.0,21.0,11.0,0.0,2.0,18.0,15.0,218.0,2317.0,0.0,1564.0,3703.0,534.0,1630.0,5290.0,2539.0,24609.0
2023,1679.0,478.0,3768.0,20046.0,33789.0,3.0,86.0,19.0,12.0,0.0,2.0,25.0,17.0,240.0,2227.0,0.0,1448.0,3738.0,495.0,1679.0,5207.0,2470.0,23937.0
