,강원도,경기도,경상남도,경상북도,계,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주도,충청남도,충청북도,수도권,강원권,충청권,호남권,경상권
1990,1.0,0.0,1838.0,1839.0,7602.0,0.0,21.0,0.0,96.0,0.0,0.0,0.0,0.0,3364.0,120.0,238.0,85.0,0.0,0.0,1.0,85.0,3484.0,3794.0
1991,3.0,1.0,2524.0,2259.0,10288.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,4481.0,298.0,455.0,149.0,0.0,1.0,3.0,149.0,4779.0,4901.0
1992,5.0,5.0,3334.0,3246.0,14066.0,3.0,2.0,0.0,127.0,0.0,0.0,0.0,0.0,5977.0,373.0,725.0,268.0,1.0,5.0,5.0,269.0,6353.0,6709.0
1993,1.0,1.0,2290.0,2039.0,9716.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,1.0,4667.0,203.0,355.0,127.0,0.0,2.0,1.0,127.0,4870.0,4361.0
1994,3.0,2.0,2370.0,1825.0,9674.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,4635.0,214.0,455.0,146.0,0.0,2.0,3.0,146.0,4850.0,4218.0
1995,5.0,10.0,3334.0,2750.0,15817.0,2.0,216.0,3.0,30.0,2.0,0.0,0.0,9.0,7774.0,474.0,799.0,409.0,0.0,21.0,5.0,412.0,8250.0,6330.0
1996,54.0,10.0,2150.0,1828.0,9661.0,0.0,118.0,1.0,3.0,0.0,0.0,0.0,11.0,4556.0,225.0,570.0,130.0,5.0,21.0,54.0,136.0,4781.0,4099.0
1997,123.0,17.0,2328.0,2238.0,12539.0,0.0,100.0,1.0,19.0,0.0,0.0,0.0,12.0,6166.0,249.0,1097.0,189.0,0.0,29.0,123.0,190.0,6415.0,4685.0
1998,209.0,34.0,2792.0,2686.0,14806.0,1.0,106.0,0.0,10.0,0.0,0.0,20.0,10.0,7300.0,393.0,1022.0,217.0,6.0,44.0,209.0,223.0,7694.0,5614.0
1999,319.0,27.0,3339.0,3410.0,16131.0,5.0,99.0,0.0,6.0,0.0,0.0,17.0,12.0,7164.0,459.0,949.0,299.0,26.0,39.0,319.0,325.0,7628.0,6871.0
2000,372.0,37.0,3374.0,3215.0,16773.0,3.0,87.0,2.0,8.0,0.0,0.0,17.0,18.0,8072.0,487.0,793.0,243.0,45.0,55.0,372.0,290.0,8562.0,6701.0
