,강원도,경기도,경상남도,경상북도,계,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주도,충청남도,충청북도,수도권,강원권,충청권,호남권,경상권
1990,192.0,2557.0,1437.0,662.0,9058.0,85.0,0.0,228.0,35.0,58.0,0.0,0.0,11.0,1657.0,366.0,0.0,1482.0,288.0,2626.0,192.0,1998.0,2108.0,2134.0
1991,237.0,2497.0,1474.0,713.0,9495.0,85.0,2.0,235.0,27.0,79.0,0.0,0.0,10.0,1868.0,381.0,0.0,1561.0,326.0,2586.0,237.0,2122.0,2334.0,2216.0
1992,269.0,2625.0,1479.0,952.0,10339.0,86.0,0.0,252.0,12.0,85.0,0.0,0.0,12.0,2110.0,490.0,0.0,1620.0,347.0,2722.0,269.0,2219.0,2686.0,2443.0
1993,282.0,2616.0,1493.0,1291.0,11009.0,26.0,0.0,305.0,12.0,68.0,0.0,0.0,10.0,2245.0,507.0,0.0,1730.0,424.0,2694.0,282.0,2459.0,2778.0,2796.0
1994,261.0,2788.0,1586.0,1637.0,12649.0,16.0,0.0,326.0,9.0,45.0,0.0,0.0,14.0,2650.0,618.0,0.0,2172.0,527.0,2847.0,261.0,3025.0,3284.0,3232.0
1995,289.0,3043.0,1740.0,2223.0,15752.0,34.0,18.0,322.0,63.0,47.0,0.0,0.0,52.0,3195.0,835.0,0.0,3035.0,856.0,3142.0,289.0,4213.0,4064.0,4044.0
1996,375.0,3318.0,2504.0,2902.0,18243.0,90.0,4.0,221.0,41.0,68.0,0.0,0.0,71.0,3261.0,870.0,0.0,3266.0,1252.0,3457.0,375.0,4739.0,4221.0,5451.0
1997,462.0,3663.0,2739.0,3743.0,21983.0,107.0,9.0,266.0,26.0,66.0,0.0,0.0,72.0,3933.0,1144.0,0.0,3914.0,1839.0,3801.0,462.0,6019.0,5184.0,6517.0
1998,544.0,4082.0,1513.0,4324.0,24612.0,123.0,14.0,278.0,16.0,65.0,0.0,1421.0,94.0,4498.0,1235.0,0.0,4411.0,1994.0,4241.0,544.0,6683.0,5856.0,7288.0
1999,575.0,4282.0,1594.0,4573.0,25677.0,129.0,14.0,286.0,17.0,64.0,0.0,1422.0,87.0,4492.0,1397.0,0.0,4681.0,2064.0,4433.0,575.0,7031.0,6018.0,7620.0
2000,641.0,4369.0,1694.0,4638.0,26142.0,150.0,19.0,288.0,15.0,75.0,0.0,1383.0,93.0,4531.0,1402.0,0.0,4669.0,2175.0,4537.0,641.0,7132.0,6083.0,7749.0
2001,644.0,4337.0,1653.0,4359.0,25459.0,120.0,24.0,308.0,25.0,75.0,0.0,1311.0,117.0,4394.0,1355.0,8.0,4588.0,2141.0,4529.0,644.0,7037.0,5869.0,7372.0
2002,614.0,4314.0,1672.0,4258.0,25317.0,113.0,28.0,290.0,26.0,78.0,0.0,1353.0,126.0,4453.0,1321.0,16.0,4591.0,2064.0,4518.0,614.0,6945.0,5887.0,7337.0
2003,562.0,4096.0,1617.0,3858.0,24025.0,87.0,28.0,288.0,24.0,78.0,0.0,1341.0,131.0,4284.0,1237.0,16.0,4515.0,1863.0,4305.0,562.0,6666.0,5608.0,6868.0
2004,539.0,4044.0,1521.0,3772.0,22906.0,92.0,30.0,306.0,22.0,68.0,0.0,1315.0,123.0,4061.0,1122.0,15.0,4207.0,1669.0,4235.0,539.0,6182.0,5275.0,6660.0
2005,516.0,3982.0,1465.0,3515.0,21735.0,90.0,30.0,261.0,23.0,54.0,0.0,1264.0,149.0,3999.0,1031.0,15.0,3940.0,1401.0,4185.0,516.0,5602.0,5120.0,6297.0
2006,333.0,3530.0,1822.0,3018.0,20656.0,82.0,42.0,275.0,68.0,45.0,0.0,1239.0,230.0,4460.0,929.0,23.0,3336.0,1224.0,3805.0,333.0,4835.0,5471.0,6189.0
2007,300.0,3380.0,1729.0,2793.0,19888.0,71.0,37.0,244.0,65.0,39.0,0.0,1147.0,233.0,4536.0,926.0,28.0,3248.0,1112.0,3652.0,300.0,4604.0,5533.0,5771.0
