,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전국,전라남도,전라북도,제주도,충청남도,충청북도,수도권,강원권,충청권,호남권,경상권
2014,108727,176028,154050,277650,10370,8660,4385,6351,480,8444,11369,20098,1691113,305889,204612,62686,219215,112097,196606,108727,344141,520871,458080
2015,107277,175417,151769,274487,10261,8291,4305,6008,476,8260,11003,20114,1679023,304799,203559,62642,218787,111568,196007,107277,342920,518619,451558
2016,104330,169435,149247,268461,9878,8102,4072,5934,422,8102,10889,19511,1643599,298095,200720,62140,215100,109161,189368,104330,336435,508693,442633
2017,103133,165707,146766,265665,9446,8062,3888,5742,402,7958,10540,19004,1620796,293863,199196,61088,213238,107097,185113,103133,332181,502505,436775
2018,101564,162587,144404,262049,9328,7661,3794,5578,353,7704,10064,18377,1595614,290827,197541,59338,211577,102870,181317,101564,325945,497696,429756
2019,100756,160181,142946,260237,9252,7472,3742,5408,347,7588,9977,18244,1580957,288249,195191,59039,210428,101900,178772,100756,323658,492692,426040
2020,99258,156699,141889,257323,9083,7458,3577,5306,343,7555,9870,18083,1564797,286396,193791,58654,208632,100880,175125,99258,320644,489270,421846
2021,102128,152353,138185,249273,9368,7038,3961,5042,619,7358,9274,17620,1546717,281077,191601,56355,217425,98041,170592,102128,326785,482046,408812
2022,101104,150188,136294,246429,9240,6917,3858,4832,613,7021,8984,17499,1528237,277095,190410,55957,215693,96102,168300,101104,322674,476745,403456
2023,100226,147503,134738,243936,9145,6821,3731,4797,607,6814,8798,17343,1512145,274435,189148,55605,213715,94783,165453,100226,319043,472728,399090
