"시점",계,계,계,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주도,제주도,제주도
"시점",사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤)
"2014",21399,2218,474712,0,0,0,1,2529,25,57,2213,1262,0,0,0,0,0,0,3,2329,70,2,2529,51,-,-,-,192,1183,2272,177,1257,2225,2730,2076,56667,1006,2329,23427,1244,2299,28598,250,2023,5058,13257,2205,292340,2480,2529,62716,0,0,0
"2015",21965,2654,582845,0,0,0,1,2660,27,52,2977,1548,0,0,0,0,0,0,2,2553,51,3,2660,80,-,-,-,170,1611,2740,218,2052,4472,2789,2483,69242,962,2553,24560,1237,2804,34688,235,2264,5320,13759,2708,372627,2537,2660,67491,0,0,0
"2016",23880,2414,576369,0,0,0,4,2218,89,76,2141,1627,7,1163,81,0,0,0,17,1895,322,15,2277,342,0,0,0,192,1163,2234,440,1313,5778,2995,2332,69846,1226,2196,26924,1565,2620,41008,453,2047,9274,14585,2521,367710,2305,2218,51134,0,0,0
"2017",23355,2335,545349,0,1030,0,1,2311,13,74,1782,1322,2,1030,21,0,0,0,12,1599,199,19,1762,327,1,2319,19,171,1030,1762,391,1418,5550,2745,2428,66661,1265,2319,29343,1635,2489,40694,357,2135,7621,14355,2355,338034,2327,2311,53782,0,2135,1
"2018",23600,2014,475303,0,0,0,1,2085,15,43,1181,509,8,613,50,2,1206,21,11,1402,153,21,781,167,10,1546,157,162,613,992,483,1139,5506,2886,1787,51580,1156,1546,17878,1593,1795,28597,330,1206,3984,14473,2178,315230,2420,2085,50461,0,1206,1
"2019",23911,2239,535324,0,0,0,2,2602,55,36,1055,378,11,805,87,2,1402,35,5,1687,90,20,96,19,9,2119,198,211,805,1699,542,1935,10486,2653,1974,52376,1142,2119,24189,1776,2253,40020,390,1402,5471,14723,2296,338085,2388,2602,62136,0,1402,0
"2020",23330,1809,422115,0,0,0,2,1826,28,36,1808,647,9,692,63,3,757,20,1,1724,11,21,294,61,0,0,0,226,692,1563,517,1590,8215,2437,1743,42477,995,1724,17147,1734,1315,22804,389,757,2944,14323,1941,277942,2639,1826,48194,0,0,0
"2021",26302,1962,515931,0,949,0,2,2493,45,54,1390,752,5,949,46,2,1341,25,9,1759,164,7,2493,170,2,1759,40,316,949,3001,1053,2232,23503,2703,1929,52133,1291,1759,22717,1558,2256,35142,122,1341,1635,16469,1876,309034,2708,2493,67524,0,0,0
"2022",25767,2197,566041,0,1041,0,2,2809,49,54,1841,990,2,1041,19,2,1673,31,10,2025,200,15,2809,420,1,2025,24,320,1041,3333,1192,2085,24852,2600,2256,58640,1204,2025,24371,1787,2385,42618,141,1673,2351,15677,2108,330532,2763,2809,77610,0,1673,1
"2023",24687,1598,394428,0,840,0,6,1842,108,60,1065,641,6,840,52,2,678,15,9,1313,112,15,1842,284,1,1313,12,331,840,2779,1217,1621,19729,2564,1407,36063,1073,1313,14093,1755,1492,26183,159,678,1080,14867,1648,244990,2621,1842,48286,0,678,1
