"시도별(1)","종류별(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"시도별(1)","종류별(1)",합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수,합계,● 사과,● 배,● 복숭아,● 포도,● 감귤,● 감,● 떫은감,● 단감,● 자두,● 매실,● 유자,● 기타과수
"계","합계",153415,30702,13127,15539,13538,17007,27988,15537,12451,5662,12752,920,16180,154136,31620,12664,16704,12690,16692,27034,15185,11849,5920,12082,977,17753,158662,33300,11164,19877,12706,17624,25060,15058,10002,7033,11799,866,19233,159041.3535,33600.6824,10860.5134,21029.9183,11147.5755,17273.0674,24749.4697,15163.58,9585.8902,7324.4875,11258.5528,966.3171,20830.7694,156435.3572,33234.0913,10302.78,21087.4623,10938.379,16809.8081,23917.9935,14809.94,9108.0509,7266.0638,10379.5158,942.4156,21556.8478,151825.6011,32953.5377,9614.593,20635.6096,10594.8586,16253.1222,23000.2433,14360.97,8639.2721,7100.2544,9384.7937,911.2201,21377.3685,147198.3774,31597.751,9091.2714,20450.3369,10582.461,16159.6431,21982.0279,13577.74,8404.2849,7314.9912,8486.6798,1015.8398,20517.3753,142465.9824,34358.649,9674.8249,19474.8306,10610.6817,16218.351,20882.4699,11983.11,8899.3588,6656.8803,6256.4544,962.4659,17370.3747,146391.8487,34603.2895,9679.9428,20314.4468,11085.92,16072.514,22265.158,12787.93,9477.2304,6663.8401,6392.2025,1141.3952,18173.1368,144354.6014,33788.9204,9607.1338,20126.9397,11158.8662,15820.8275,21794.2658,12590.9118,9203.354,6471.6863,5926.9851,1155.3656,18503.611
"서울특별시","합계",41,0,24,0,2,0,2,2,-,0,11,0,2,38,0,24,0,1,0,1,1,-,0,11,0,1,19,0,14,0,1,0,0,0,0,0,4,0,0,28.249,0.0823,18.3609,0.2128,1.0122,0,0.3412,0.3412,0,0.054,4.6183,0,3.5673,28.776,0.0564,19.3379,0.2824,0.9217,0,0.3311,0.3223,0.0088,0.01,3.7132,0,4.1233,24.3308,0.1076,15.9327,0.143,0.7837,0,0.5452,0.5452,0,0.0705,2.75,0,3.9981,25.0426,0.1063,15.9993,0.1419,0.7928,0,0.621,0.621,0,0.0611,2.3324,0,4.9878,43.5941,0.0186,7.2268,1.9209,0.093,0,0,0,0,0,4.0246,0,30.3102,35.9374,0.0657,7.1944,1.9061,0,0,0,0,0,0,5.6257,0,21.1455,33.7621,0.0772,7.5582,0.0192,0.0384,0,1.7431,1.7354,0.0077,0,4.0308,0,20.2952
"부산광역시","합계",271,1,18,0,0,0,87,4,83,3,107,0,55,255,1,12,1,0,0,84,16,68,1,103,0,53,361,6,44,2,3,0,82,19,63,1,121,7,95,408.5116,2.8079,39.2138,6.4935,1.3633,0,76.8285,46.8069,30.0216,3.3432,102.5185,5.3037,170.6392,420.1209,4.9197,29.4613,6.7743,1.2098,0,76.6196,48.8223,27.7973,3.6867,107.0239,4.9932,185.4324,460.4006,7.026,27.0523,10.663,1.5073,0,74.333,48.6226,25.7104,6.9969,112.6038,4.2513,215.967,449.76,6.9797,26.4439,10.6905,1.5147,0,75.299,48.7572,26.5418,5.6017,124.3711,3.9791,194.8803,253.6702,10.3018,19.4907,5.941,1.8068,0.0369,25.4994,12.8085,12.6909,4.9814,78.9669,5.2741,101.3712,265.7974,11.3377,22.1944,7.5926,1.8903,0.1471,32.7817,17.4233,15.3584,4.3702,70.3515,5.3504,109.7815,281.4946,11.7076,24.5451,12.7244,3.1552,0,31.7947,19.258,12.5367,5.2506,71.1367,5.237,115.9433
"대구광역시","합계",1287,78,8,230,171,0,195,111,84,94,236,0,275,1201,66,3,234,157,0,174,98,76,77,242,0,248,1064,81,23,289,95,0,138,133,5,119,143,0,176,1168.8697,81.5844,16.5723,269.628,109.5787,0,184.672,181.4069,3.2651,138.221,111.0485,0,257.5648,1119.6725,55.7608,17.2548,259.0958,85.3249,0,185.8172,182.2193,3.5979,142.2473,115.9434,0,258.2283,1047.8138,52.1463,15.6556,227.2624,88.9728,0,204.3602,177.4538,26.9064,126.7572,112.8005,0,219.8588,1016.2483,52.0167,14.4628,209.2381,72.7807,0,194.4139,167.898,26.5159,148.0306,95.2571,0,230.0484,973.5808,79.5014,11.7124,233.2623,121.9894,0,123.4751,113.8311,9.644,70.2751,64.6441,0,268.721,893.627,75.4548,10.2917,214.3201,116.3185,0,106.2323,101.0145,5.2178,57.0176,56.3812,0,257.6108,898.9953,85.6889,6.542,224.9923,85.6182,0,120.9685,116.3329,4.6356,57.7658,52.9584,0,264.4612
"인천광역시","합계",592,23,179,23,74,0,30,6,24,7,129,0,127,605,24,164,19,67,0,36,14,22,5,140,0,150,567,8,157,12,110,0,9,9,0,1,143,0,127,467.9052,4.4978,132.0003,13.3633,88.9469,0,17.5774,17.5774,0,1.0437,121.2617,0,89.2141,615.881,15.9758,120.5773,18.6768,126.4561,0,16.415,16.3849,0.0301,1.7778,123.6757,0,192.3265,686.7153,18.2273,118.147,23.9496,111.5835,0,20.9103,20.9103,0,2.1816,111.723,0,279.993,633.7673,21.2079,126.0317,20.4068,93.2887,0,10.5537,8.7071,1.8466,26.4694,102.7267,0,233.0824,508.4598,12.8964,57.7579,1.9761,83.4201,0,19.945,13.5979,6.3471,3.5464,95.8855,0,233.0324,467.789,15.2526,52.7973,3.9391,81.6233,0,21.422,20.8898,0.5322,3.1765,80.1486,0,209.4296,474.8911,16.8498,48.3783,4.1892,76.8357,0,30.8423,21.7559,9.0864,0.6442,79.6259,0,217.5257
"광주광역시","합계",626,0,49,11,23,0,311,165,146,2,166,0,64,662,0,43,26,17,0,320,158,162,8,169,0,79,694,2,41,46,20,0,360,149,211,0,139,1,85,752.3275,0.1444,39.2125,54.1707,16.5733,6.4291,362.8853,187.2999,175.5854,3.3289,135.486,0,134.0973,735.8272,2.0093,45.2942,89.1156,13.4962,0,323.365,181.9174,141.4476,4.8567,122.7928,0,134.8974,688.7483,2.7119,31.61,85.9046,10.6521,0,293.257,137.2029,156.0541,5.858,125.7619,0,132.9928,568.3141,2.9231,14.9532,76.3969,10.8904,0,272.6255,131.292,141.3335,5.2562,81.2769,0,103.9919,594.8892,3.6139,32.7797,53.5771,3.5349,0,277.3317,171.5083,105.8234,2.1849,84.5072,0,137.3598,518.9436,3.7329,25.0143,34.5167,3.0872,0,247.0738,146.573,100.5008,2.9826,93.3547,0,109.1814,464.5698,3.4008,21.4387,36.4141,1.4319,0,206.09,129.5669,76.5231,0.6773,95.5352,0,99.5818
"대전광역시","합계",561,5,67,5,80,0,33,21,12,5,288,0,78,540,4,73,17,81,0,55,42,13,3,213,0,94,636,20,137,52,94,0,20,20,0,28,181,0,104,677.4029,13.3388,137.6126,53.3832,85.5939,0,33.3966,29.0127,4.3839,27.5593,176.2117,0,150.3068,683.8372,11.7995,133.4387,56.662,84.7935,0,26.7692,22.1846,4.5846,28.1121,168.1035,0,174.1587,630.5765,5.8138,133.7311,47.4697,83.2807,0,29.0713,25.3867,3.6846,23.7415,137.2268,0,170.2416,619.9584,10.5174,96.651,57.6282,106.3892,0,45.1673,34.9251,10.2422,22.0275,109.001,0,172.5768,514.2973,21.1393,88.2751,46.7696,69.9041,0,48.4633,48.4633,0,13.0148,60.5822,0,166.1489,477.7382,20.5857,71.271,49.8196,61.5494,0,47.2213,47.2213,0,15.799,67.5376,0,143.9546,485.9621,19.2652,58.2963,46.1188,62.6617,0,42.168,42.0654,0.1026,13.292,61.8651,0,182.295
"울산광역시","합계",1285,3,595,4,5,0,402,32,370,7,163,0,106,1257,4,567,7,3,0,388,33,355,9,157,0,122,1257,19,555,20,2,0,332,39,293,5,173,0,151,1225.0489,27.3501,421.6743,16.8144,1.9284,0,370.5383,128.7483,241.79,14.596,157.2824,0,214.865,1229.8412,31.598,360.8709,20.6186,2.5243,0,375.8799,133.7937,242.0862,49.5134,184.2463,0,204.5898,1184.1506,28.5825,326.8107,22.9381,1.3948,0,363.5298,132.7629,230.7669,46.2477,152.808,0,241.839,1105.6708,27.2432,292.596,23.1353,6.1355,0,328.9595,123.9916,204.9679,10.7809,148.8884,0,267.932,1168.3433,13.5376,443.2794,30.3024,2.3882,0,296.5502,126.5014,170.0488,5.3501,120.3742,0,256.5612,1244.7844,18.4255,416.5306,41.8952,6.4324,0,321.2815,124.2583,197.0232,13.7672,130.6152,0,295.8368,1206.1945,25.2485,426.8299,41.1514,4.7307,0,302.6787,100.0542,202.6245,17.4414,126.0185,0,262.0954
