"시도별(1)","종류별(1)",1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"시도별(1)","종류별(1)",● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배,● 사과,● 배
"계","합계",48833,9058,50595,9495,52985,10339,52297,11009,52098,12649,50103,15752,43857,18243,39995,21983,34692,24612,31079,25677,29063,26142,26328,25459,26163,25317,26398,24025,26676,22906,26907,21735,28312,20656,29358,19888,30006,18277,30451,17090,30992,16239,31167,15081,30734,14353,30449,13740,30702,13127,31620,12664,33300,11164,33601,10861,33234,10303,32954,9615,31598,9091,34359,9675,34603,9680,33789,9607
"서울특별시","합계",3,58,0,79,0,85,0,68,0,45,0,47,0,68,0,66,0,65,0,64,0,75,0,75,0,78,0,78,0,68,0,54,0,45,1,39,1,41,0,41,0,2,0,3,0,24,0,24,0,24,0,24,0,14,0,18,0,19,0,16,0,16,0,7,0,7,0,8
"부산광역시","합계",0,35,0,27,0,12,0,12,0,9,0,63,0,41,0,26,0,16,0,17,0,15,0,25,0,26,0,24,0,22,0,23,0,68,0,65,0,47,1,64,3,59,3,23,3,22,3,11,1,18,1,12,6,44,3,39,5,29,7,27,7,26,10,19,11,22,12,25
"대구광역시","합계",418,0,426,2,429,0,447,0,444,0,448,18,146,4,112,9,102,14,92,14,90,19,66,24,69,28,70,28,71,30,78,30,125,42,123,37,143,17,105,33,97,31,90,10,74,10,86,10,78,8,66,3,81,23,82,17,56,17,52,16,52,14,80,12,75,10,86,7
"인천광역시","합계",16,11,1,10,0,12,0,10,0,14,5,52,14,71,14,72,14,94,1,87,1,93,1,117,0,126,0,131,4,123,14,149,1,230,3,233,2,184,8,261,26,258,19,238,18,221,12,205,23,179,24,164,8,157,4,132,16,121,18,118,21,126,13,58,15,53,17,48
"광주광역시","합계",0,85,0,85,0,86,0,26,0,16,0,34,0,90,0,107,0,123,1,129,1,150,1,120,0,113,0,87,0,92,0,90,0,82,0,71,0,39,0,94,0,64,0,51,0,43,0,41,0,49,0,43,2,41,0,39,2,45,3,32,3,15,4,33,4,25,3,21
"대전광역시","합계",130,228,115,235,109,252,109,305,91,326,58,322,47,221,47,266,36,278,34,286,33,288,30,308,32,290,19,288,13,306,15,261,26,275,21,244,29,223,21,187,12,127,2,94,4,75,4,67,5,67,4,73,20,137,13,138,12,133,6,134,11,97,21,88,21,71,19,58
"울산광역시","합계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,1421,23,1422,16,1383,13,1311,16,1353,16,1341,17,1315,18,1264,4,1239,6,1147,1,1027,3,907,1,840,1,783,2,656,2,648,3,595,4,567,19,555,27,422,32,361,29,327,27,293,14,443,18,417,25,427
"세종특별자치시","합계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,150,10,156,13,129,11,92,1,113,17,120,2,139,2,111
