"시도별(1)","종류별(1)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"시도별(1)","종류별(1)",양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파,양파
"계","합계",7602,10288,14066,9716,9674,15817,9661,12539,14806,16131,16773,18995,15314,12352,15563,16737,15315,17751,15392,18514,22113,22976,20965,20036,23911,18015,19896,19538,26425,21777,14673,18461,17661,17282
"서울특별시","합계",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,1,1,1
"부산광역시","합계",96,118,127,31,23,30,3,19,10,6,8,6,5,3,6,5,6,16,5,12,16,6,13,23,16,17,21,10,31,16,13,26,19,16
"대구광역시","합계",21,0,2,1,0,216,118,100,106,99,87,102,112,141,186,233,84,76,99,156,147,137,129,81,120,63,217,236,263,311,356,332,360,332
"인천광역시","합계",0,0,0,1,0,9,11,12,10,12,18,11,16,7,15,26,22,27,16,17,24,25,35,25,33,25,35,32,35,52,24,27,19,17
"광주광역시","합계",0,0,3,0,1,2,0,0,1,5,3,4,17,3,15,29,26,23,66,45,76,167,126,58,83,93,43,48,65,33,34,42,97,71
"대전광역시","합계",0,0,0,0,0,3,1,1,0,0,2,1,0,0,0,1,1,1,2,3,2,4,3,3,4,1,2,5,5,4,2,13,9,9
"울산광역시","합계",-,-,-,-,-,-,-,-,20,17,17,20,12,13,18,32,35,32,47,38,46,55,46,37,62,36,19,18,65,52,28,31,34,45
"세종특별자치시","합계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,3,4,5,1,20,13
"경기도","합계",0,1,5,1,2,10,10,17,34,27,37,45,29,17,30,63,21,51,39,33,41,74,158,90,217,177,217,280,509,493,345,276,369,435
"강원도","합계",1,3,5,1,3,5,54,123,209,319,372,218,69,74,89,78,10,39,11,33,53,22,30,37,59,46,16,33,60,102,76,131,62,99
"충청북도","합계",0,0,1,0,0,0,5,0,6,26,45,30,38,29,73,85,48,43,70,58,89,56,102,114,81,117,65,85,88,155,68,106,95,74
"충청남도","합계",85,149,268,127,146,409,130,189,217,299,243,264,218,203,254,291,159,312,294,362,390,467,615,448,724,430,453,785,1233,944,693,923,828,836
"전라북도","합계",120,298,373,203,214,474,225,249,393,459,487,502,497,343,505,736,565,708,996,961,1302,1306,1361,1393,1654,1352,912,1632,2646,2373,1142,1687,1578,1751
"전라남도","합계",3364,4481,5977,4667,4635,7774,4556,6166,7300,7164,8072,9353,7435,6658,9010,8653,8571,9731,8165,10152,11754,12166,10715,10124,12080,9171,9521,9230,11327,8467,5743,6775,6676,6079
"경상북도","합계",1839,2259,3246,2039,1825,2750,1828,2238,2686,3410,3215,3401,2924,1835,2268,2688,2152,2460,1978,2368,2695,2397,2370,2373,2602,2080,2057,2087,3369,3309,2365,3159,2771,2986
"경상남도","합계",1838,2524,3334,2290,2370,3334,2150,2328,2792,3339,3374,3811,3094,2161,2243,3042,2706,2913,2812,3239,4282,4842,4493,4609,5294,3766,4749,3938,5471,4330,2825,4023,3777,3482
"제주도","합계",238,455,725,355,455,799,570,1097,1022,949,793,1227,848,865,851,775,909,1319,792,1037,1196,1252,769,621,882,641,1566,1116,1254,1130,955,906,946,1035
