"품목군별(1)",품목군별(2),2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"품목군별(1)",품목군별(2),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%),수량,총수입 (원),경영비 (원),소득 (원),소득률 (%)
"식량작물 (kg)",소계,-,1628558,776285,852273,52.3,-,1610204,717931,892273,52.1,-,1786630,767172,1019458,55.6,-,1804483,832559,971924,53.9,-,1794925,880187,914738,51.0,-,1791727,867563,924164,51.6,-,1574594,844716,729879,46.4,-,1789417,941150,848267,47.4,-,1918806,1021607,897199,46.8,-,1961819,1125120,836699,42.6
"식량작물 (kg)",겉보리,463,614817,287601,327216,53.2,476,587433,231732,355701,60.6,427,558134,257570,300564,53.9,405,536589,256632,279956,52.2,448,596338,292130,304208,51.0,478,475107,303758,171349,36.1,521,438275,292846,145429,33.2,463,342918,266817,76101,22.2,523,390791,272266,118525,30.3,483,467207,285063,182144,39.0
"식량작물 (kg)",쌀보리,395,508063,272201,235862,46.4,430,503530,232096,271434,53.9,359,434749,239718,195032,44.9,336,354739,223016,131723,37.1,412,519853,292211,227642,43.8,333,416889,264148,152742,36.6,465,516824,274269,242556,46.9,406,479994,290869,189124,39.4,454,508167,306753,201414,39.6,453,562366,295231,267135,47.5
"식량작물 (kg)",밀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,403,439293,270889,168404,38.3,455,445958,283526,162432,36.4,294,291715,233227,58488,20.0,499,500390,271237,229152,45.8,498,491798,300358,191440,38.9
"식량작물 (kg)",맥주보리,429,412847,234565,178282,43.2,422,435005,220576,214429,49.3,376,430896,245163,185733,43.1,354,380978,220300,160678,42.2,400,452278,256981,195297,43.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"식량작물 (kg)",노지풋옥수수,2852,1386851,555106,831745,60.0,3259,1527410,534141,993269,65.0,3114,1534920,539939,994981,64.8,2358,1712013,529898,1182115,69.0,2904,1630328,618041,1012287,62.1,3162,1703733,690378,1013355,59.5,3076,1692107,635559,1056549,62.4,2899,1594683,731258,863425,54.1,2962,1882077,852439,1029639,54.7,2843,1748101,890037,858064,49.1
"식량작물 (kg)",고구마,1596,2694628,1127535,1567093,58.2,1672,2729930,1036370,1693560,62.0,1664,2832213,1176824,1655389,58.4,1671,3137942,1363829,1774114,56.5,1654,2878675,1307266,1571409,54.6,1540,3177627,1391094,1786533,56.2,1588,2828803,1383228,1445575,51.1,1515,3456606,1632174,1824432,52.8,1665,3831388,1826106,2005282,52.3,1514,3235406,1893799,1341607,41.5
"식량작물 (kg)",봄감자,2418,1981289,1008614,972675,49.1,2445,1860313,947976,912337,49.0,2331,2281972,943333,1338639,58.7,2354,2001364,1065019,936346,46.8,2135,1965899,1139173,826725,42.1,2122,2142006,1208717,933289,43.6,2241,1851178,1164388,686790,37.1,2271,2039543,1185492,854051,41.9,2140,2010279,1285205,725074,36.1,2125,2535290,1461335,1073955,42.4
"식량작물 (kg)",가을감자,1878,1979412,1200043,779369,39.4,1797,1904820,1095035,809785,42.5,1836,2179623,1177122,1002501,46.0,1331,1908159,1144765,763394,40.0,1590,2441800,1223856,1217944,49.9,1835,2547389,1234848,1312541,51.5,1499,1717403,1286534,430870,25.1,1533,2182753,1316887,865867,39.7,1676,2348660,1346524,1002136,42.7,1583,2659175,1668489,990686,37.3
"노지채소 (kg)",소계,-,2780395,1156568,1623827,58.4,-,2641304,1122615,1518689,51.4,-,2769089,1150697,1618392,58.0,-,3299927,1220555,2079372,63.0,-,2857395,1275636,1581759,55.4,-,3114914,1411595,1703319,54.7,-,3203189,1499350,1703839,53.2,-,3626588,1639115,1987473,54.8,-,3309757,1641405,1668352,50.4,-,3928312,1832146,2096166,53.4
"노지채소 (kg)",노지수박,3841,4063778,1442057,2621721,64.5,3841,3483787,1467299,2016488,57.9,4041,3616271,1393552,2222719,61.5,4294,3616550,1413779,2202771,60.9,3876,3274787,1308904,1965883,60.0,4749,3650016,1677847,1972169,54.0,4378,3519215,1631568,1887647,53.6,4273,3844725,1991279,1853446,48.2,5192,4899514,2214891,2684623,54.8,4957,5003263,2366919,2636344,52.7
"노지채소 (kg)",봄무,5238,1807110,873997,933113,51.6,5251,1879858,913116,966742,51.4,6280,2148010,992749,1155261,53.8,5625,2142655,980625,1162030,54.2,5687,1979395,1032390,947005,47.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"노지채소 (kg)",가을무,5612,2203734,846332,1357402,61.6,5697,1965774,749240,1216534,61.9,5390,1956983,885790,1071193,54.7,5470,3129176,1001954,2127222,68.0,5280,2484439,1003740,1480699,59.6,5151,2646315,1097604,1548711,58.5,5188,2965824,1134614,1831211,61.7,6168,2346947,1117386,1229561,52.4,5771,2478377,1041120,1437257,58.0,6540,2830632,1279838,1550794,54.8
