"주산지","품종","평균가격
(원/kg)","거래물량
(톤)","거래금액
(억원)"
"강원도 정선군","사과(전체)","5,450","136.5","7.44"
"강원도 평창군","사과(전체)","5,450","79.6","4.34"
"경상북도 청송군","사과(전체)","7,240","16","1.16"
"전라남도 곡성군","사과(전체)","5,940","11","0.65"
"경상북도 영주시","사과(전체)","4,520","8.1","0.37"
"충청북도 충주시","사과(전체)","9,510","7.1","0.68"
"부산광역시 해운대구","사과(전체)","3,780","6.6","0.25"
"전라남도 화순군","사과(전체)","5,020","5.9","0.29"
"충청남도 부여군","사과(전체)","6,950","5.8","0.4"
"충청남도 보령시","사과(전체)","5,220","5.6","0.29"
"경상남도 창원시 의창(성산)구","사과(전체)","7,490","4.8","0.36"
"경상남도 밀양시","사과(전체)","4,180","4.8","0.2"
"전라남도 장성군","사과(전체)","3,990","4.3","0.17"
"경상남도 진해시","사과(전체)","6,090","3.7","0.22"
"전라북도 김제시","사과(전체)","6,580","3.2","0.21"
"경상북도 경산시","사과(전체)","5,130","3.2","0.17"
"경상북도 영천시","사과(전체)","5,970","3","0.18"
"강원도 강릉시","사과(전체)","4,960","2.9","0.14"
"경상북도 안동시","사과(전체)","2,760","2.8","0.08"
"경상남도 산청군","사과(전체)","6,130","2.8","0.17"
"충청북도 영동군","사과(전체)","4,280","2.4","0.1"
"강원도 양구군","사과(전체)","6,340","2.4","0.16"
"경상북도 봉화군","사과(전체)","6,150","2.2","0.13"
"경상북도","사과(전체)","2,690","2.2","0.06"
"경상북도 구미시","사과(전체)","4,790","2.1","0.1"
"경상북도 군위군","사과(전체)","6,650","2","0.13"
"충청남도 공주시","사과(전체)","5,560","2","0.11"
"충청남도 예산군","사과(전체)","3,590","1.9","0.07"
"전라북도 익산시","사과(전체)","6,570","1.9","0.12"
"경상남도 거창군","사과(전체)","3,680","1.8","0.07"
"전라북도 무주군","사과(전체)","3,820","1.5","0.06"
"경상북도 성주군","사과(전체)","2,670","1.5","0.04"
"충청북도 청주시","사과(전체)","4,450","1.5","0.07"
"전라남도 영암군","사과(전체)","5,020","1.4","0.07"
"경상북도 포항시","사과(전체)","8,280","0.8","0.07"
"경상북도 의성군","사과(전체)","7,370","0.8","0.06"
"충청남도 당진군","사과(전체)","5,600","0.8","0.04"
"충청남도 천안시","사과(전체)","5,420","0.7","0.04"
"경상남도 의령군","사과(전체)","4,760","0.7","0.03"
"전라북도 장수군","사과(전체)","8,030","0.4","0.03"
"경상북도 김천시","사과(전체)","4,530","0.4","0.02"
"경상북도 칠곡군","사과(전체)","5,480","0.3","0.02"
"전라북도","사과(전체)","4,010","0.3","0.01"
"전라북도 전주시","사과(전체)","6,940","0.2","0.02"
"경상남도","사과(전체)","3,920","0.2","0.01"
"서울특별시 중구","사과(전체)","9,050","0.2","0.02"
"울산광역시","사과(전체)","4,760","0.1","0"
