"시도별(1)","종류별(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"시도별(1)","종류별(1)",수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,토마토,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,토마토,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파,수박,참외,딸기,오이,호박,무  계,당근,배추계,양배추,고추,마늘,파,양파
"계","합계",2855,127,50,862,6504,19910,2397,29509,7342,36120,25062,14325,23911,2613,133,97,799,7249,-,19075,3114,25286,6425,34514,20638,13123,18015,2273,192,134,875,6150,18390,2230,23093,6765,32181,20758,13028,19896,2726,127,124,1113,6177,21877,2207,30018,6854,28337,24864,15232,19538,2367,145,93,1160,6299,22406,2154,29437,7906,28824,28351,15949,26425,2648,159,41,999,6814,18917,2069,24203,6980,31644,27689,14471,21777,2623,186,49,1069,6781,18996,2688,28934,7091,31146,25372,13399,14673,2228,212,46,1113,6550,-,19471,2976,27165,8675,33373,21999,15703,18461,2377,212,53,773,6245,19022,2199,27820,7237,29770,22362,14404,17661,1946,191,40,1005,7508,20603,2486,26786,6436,27132,24700,14613,17282
"서울특별시","합계",-,1,-,-,1,7,-,10,-,7,4,2,-,0,0,0,0,0,-,4,0,7,0,24,3,1,0,0,0,0,0,3,2,0,4,0,8,1,23,0,0,0,0,1,4,4,0,5,0,11,1,31,0,0,0,0,0,3,4,0,5,0,7,0,30,0,0,0,0,0,3,3,0,3,0,8,1,29,0,0,0,0,0,3,2,0,3,0,9,1,29,0,0,0,0,1,2,-,10,0,11,0,10,4,22,1,0,1,0,1,3,5,0,9,0,9,2,19,1,0,0,0,1,4,6,0,9,1,10,2,11,1
"부산광역시","합계",-,-,-,1,30,14,93,110,26,48,25,569,16,0,0,0,0,22,-,29,158,119,52,61,21,645,17,0,0,0,3,31,22,0,44,26,50,22,464,21,2,0,0,2,37,33,11,102,27,63,23,484,10,2,0,0,1,51,42,10,69,34,69,26,515,31,2,1,0,2,57,35,5,45,24,82,27,491,16,2,1,0,1,39,56,12,71,29,82,31,364,13,3,1,1,5,28,-,33,92,41,45,59,36,470,26,3,1,0,4,26,39,85,60,44,62,27,483,19,5,2,1,5,25,38,93,48,37,66,29,555,16
"대구광역시","합계",-,-,-,-,30,37,-,86,6,127,180,66,120,0,0,0,0,38,-,26,0,55,49,109,143,36,63,0,0,1,0,28,65,0,52,110,118,405,232,217,0,0,0,0,21,40,0,117,136,81,468,231,236,0,0,0,0,18,88,1,72,163,81,487,310,263,0,0,0,0,8,87,0,66,181,108,504,223,311,0,1,0,1,20,63,1,94,195,98,418,282,356,1,0,1,2,21,-,27,2,95,14,146,359,320,332,0,0,0,1,15,66,1,95,34,111,414,231,360,1,0,4,1,16,66,1,82,29,113,461,242,332
"인천광역시","합계",1,1,-,11,30,106,3,186,1,589,87,153,33,1,11,0,16,54,-,106,3,201,1,606,105,192,25,2,8,0,11,19,130,0,123,0,393,75,93,35,3,8,1,8,39,99,4,135,14,311,66,187,32,4,9,1,38,81,104,2,131,4,356,61,168,35,5,18,5,17,77,99,2,118,2,385,66,179,52,7,13,2,13,70,101,5,125,2,362,91,164,24,9,12,3,15,64,-,101,4,148,9,473,56,148,27,6,12,2,16,42,100,3,128,12,400,56,112,19,6,9,1,12,52,78,2,115,9,357,43,109,17
"광주광역시","합계",19,-,-,-,15,103,-,167,-,139,47,1,83,21,0,0,0,9,-,148,0,81,0,84,33,2,93,71,0,0,0,30,169,0,85,0,126,36,2,43,68,3,0,0,19,149,0,94,4,91,44,10,48,56,3,0,1,15,79,0,60,0,104,36,10,65,53,1,0,1,10,93,0,49,18,91,44,1,33,53,3,0,1,10,31,0,64,34,110,35,8,34,70,1,0,1,60,-,112,0,62,25,115,34,20,42,37,0,0,1,21,146,0,92,10,93,33,13,97,23,2,0,2,23,160,0,35,51,67,31,28,71
"대전광역시","합계",-,-,-,8,16,21,-,63,-,83,29,23,4,0,0,0,0,12,-,36,0,58,0,78,23,9,1,0,0,0,1,18,16,0,46,0,85,22,42,2,0,0,0,1,3,16,0,67,0,68,28,39,5,0,0,0,0,3,23,0,54,0,73,29,23,5,0,0,0,1,19,24,0,36,0,59,31,19,4,0,0,0,1,32,19,2,51,0,52,21,29,2,1,1,1,2,41,-,22,1,68,3,95,31,23,13,1,1,0,3,37,27,1,62,2,85,38,42,9,1,2,0,4,37,27,1,50,0,69,36,30,9
"울산광역시","합계",1,-,-,2,24,70,-,110,-,182,62,31,62,1,0,0,1,27,-,81,0,109,6,157,50,15,36,0,2,0,0,34,28,0,55,0,149,45,26,19,1,2,0,2,64,63,0,96,1,155,69,47,18,6,3,1,4,85,61,0,110,2,183,97,71,65,6,4,1,3,77,54,1,71,1,191,96,59,52,4,2,2,4,72,45,1,74,4,184,81,50,28,8,4,2,9,79,-,40,4,95,4,166,59,76,31,13,4,1,10,72,56,3,97,6,177,61,65,34,10,4,2,10,78,58,8,105,14,162,72,77,45
