"시도별(1)","전답별(1)",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"전국","계",1691113,1679023,1643599,1620796,1595614,1580957,1564797,1546717,1528237,1512145
"전국","논",933615,908194,895739,864865,844265,829778,823895,780440,775640,763989
"전국","밭",757498,770829,747860,755931,751349,751179,740902,766277,752597,748156
"서울특별시","계",480,476,422,402,353,347,343,619,613,607
"서울특별시","논",179,176,176,167,159,150,145,196,190,200
"서울특별시","밭",302,300,246,235,193,197,199,423,423,407
"부산광역시","계",6351,6008,5934,5742,5578,5408,5306,5042,4832,4797
"부산광역시","논",3778,3490,3348,3243,3091,2951,2812,2278,2268,2278
"부산광역시","밭",2574,2518,2586,2500,2487,2457,2493,2764,2564,2519
"대구광역시","계",8660,8291,8102,8062,7661,7472,7458,7038,6917,6821
"대구광역시","논",4455,3865,4025,3994,3535,3513,3512,2660,2953,2949
"대구광역시","밭",4206,4426,4077,4068,4126,3958,3947,4378,3964,3873
"인천광역시","계",20098,20114,19511,19004,18377,18244,18083,17620,17499,17343
"인천광역시","논",13589,13445,12720,12223,11547,11327,11226,12413,12288,12189
"인천광역시","밭",6509,6669,6791,6781,6829,6918,6857,5207,5211,5154
"광주광역시","계",10370,10261,9878,9446,9328,9252,9083,9368,9240,9145
"광주광역시","논",6764,6615,6167,5931,5792,5758,5724,4580,4600,4980
"광주광역시","밭",3606,3646,3711,3515,3535,3494,3359,4789,4641,4165
"대전광역시","계",4385,4305,4072,3888,3794,3742,3577,3961,3858,3731
"대전광역시","논",1629,1606,1544,1458,1400,1358,1286,1137,1104,1075
"대전광역시","밭",2755,2699,2528,2430,2394,2384,2292,2824,2754,2656
"울산광역시","계",11369,11003,10889,10540,10064,9977,9870,9274,8984,8798
"울산광역시","논",6508,6125,5926,5636,5485,5281,5238,4424,4268,4076
"울산광역시","밭",4860,4878,4963,4904,4578,4696,4632,4850,4716,4722
"세종특별자치시","계",8444,8260,8102,7958,7704,7588,7555,7358,7021,6814
"세종특별자치시","논",4968,4785,4616,4513,4387,4250,4241,3704,3526,3412
"세종특별자치시","밭",3476,3475,3486,3445,3317,3338,3314,3654,3494,3401
"경기도","계",176028,175417,169435,165707,162587,160181,156699,152353,150188,147503
"경기도","논",96696,95680,93216,88733,86243,84125,82790,80950,79996,77214
"경기도","밭",79332,79737,76219,76975,76345,76056,73909,71403,70192,70288
"강원도","계",108727,107277,104330,103133,101564,100756,99258,102128,101104,100226
"강원도","논",39972,38979,37763,35682,34170,33685,32917,31718,31092,30189
"강원도","밭",68755,68297,66567,67452,67394,67071,66341,70410,70012,70037
"충청북도","계",112097,111568,109161,107097,102870,101900,100880,98041,96102,94783
"충청북도","논",45164,44541,43807,40506,38613,38290,37970,35349,35134,34655
"충청북도","밭",66933,67027,65354,66591,64257,63610,62910,62692,60968,60128
"충청남도","계",219215,218787,215100,213238,211577,210428,208632,217425,215693,213715
"충청남도","논",154535,152677,151431,148558,146703,145785,145103,141925,141674,140058
"충청남도","밭",64680,66110,63669,64680,64874,64644,63528,75501,74018,73657
"전라북도","계",204612,203559,200720,199196,197541,195191,193791,191601,190410,189148
"전라북도","논",137883,134380,132854,130322,128333,124408,123638,123904,123821,121553
"전라북도","밭",66729,69179,67866,68874,69208,70784,70153,67697,66590,67595
"전라남도","계",305889,304799,298095,293863,290827,288249,286396,281077,277095,274435
"전라남도","논",187910,185190,183530,177753,173986,169090,168387,167299,165770,163688
"전라남도","밭",117980,119609,114565,116110,116841,119159,118009,113778,111325,110747
"경상북도","계",277650,274487,268461,265665,262049,260237,257323,249273,246429,243936
"경상북도","논",135796,126818,125846,121350,118813,118503,117936,102399,102303,100587
"경상북도","밭",141854,147669,142615,144315,143236,141734,139387,146873,144126,143350
"경상남도","계",154050,151769,149247,146766,144404,142946,141889,138185,136294,134738
"경상남도","논",93770,89803,88753,84780,81991,81288,80952,65491,64641,64874
"경상남도","밭",60280,61966,60494,61986,62413,61658,60937,72694,71653,69864
"제주도","계",62686,62642,62140,61088,59338,59039,58654,56355,55957,55605
"제주도","논",19,18,17,17,17,17,17,14,12,12
"제주도","밭",62667,62624,62123,61071,59321,59022,58637,56341,55945,55593
